ChuDauTu,DienTich,LoaiDuAn,TenDuAn,ViTriToaDo
Công ty TNHH Đầu Tư và Phát triển Đô thị Gia Lâm,28.834 m2,Căn hộ,The Zenpark,21.00120431493-105.94335615644
Công ty Cổ phần Tập đoàn Bossco,"38.487,5 m2",Đất nền,Bossco Gia Lai,13.962297870997-108.02135431108
,"9,6 ha","Shophouse, nhà phố, đất nền",TNR Stars Đông Hải,9.0347941034323-105.4244249929
Công ty Cổ phần Đầu tư Địa ốc Sol,,Nhà phố,Nhà phố Tô Ngọc Vân quận 12,10.871355959555-106.67370882813
Công ty Cổ phần Hưng Thịnh Land,"3,3 ha",Căn hộ,Avatar Thủ Đức,10.841111621689-106.75506264977
Tập Đoàn Vingroup,,Shophouse,Mega Complex,20.942476239605-105.9802137042
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thành Vinh,,Đất nền,TNR Stars Thái Hòa,19.314342955275-105.43503427299
Công ty Cổ phần Đầu tư Nam Long,28 ha,Biệt thự,Nam Phú Villas quận 7,10.745595371747-106.73631892485
Công ty Cổ phần May - Diêm Sài Gòn,"11,71 ha","Shophouse, đất nền",TNR Stars Đức Thọ,18.520774543414-105.58628897291
Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC Corp),280 ha,"Khách sạn, biệ thự, sân golf",DIC Star Hotels & Resorts – Sân golf,17.400578327616-106.686052598
Công ty Cổ phần Phát triển Nam Sài Gòn (Sadeco),"22,26",,Sadeco Phước Kiển Nhà Bè,10.720051017645-106.69761938459
Công ty cổ phần Đầu tư phát triển đô thị và khu công nghiệp Sông Đà (Sudico),"288,8 ha","Biệt thự, liền kề",Khu đô thị Nam An Khánh,21.000564600165-105.71607023489
Tập đoàn Vingroup – Công ty CP,,Căn hộ,Vinh Lotus Residence,18.670755377182-105.67574589287
Công ty TNHH Tư vấn Đầu tư và Phát triển Địa ốc Bình Minh,"193.319,7 m2","Liền kề, đất nền, nhà ở xã hội",5F Apollo,11.139506107198-106.67625950432
Công ty TNHH Xây dựng và Thương mại Lam Sơn,"121,96 ha","Nhà phố, biệt thự, shophouse",Khu đô thị Đình Trám – Sen Hồ ,21.258376914289-106.11841147614
Công ty cổ phần IMG Phước Đông,"128,88 ha","Nhà xưởng, đất công nghiệp",Khu công nghiệp Cầu cảng Phước Đông,10.48661302015-106.64189145508
Công ty Cổ phần Phát triển nhà Bà Rịa – Vũng Tàu (Hodeco),,Đất nền,Khu biệt thự đồi Ngọc Tước 2,10.353602873398-107.09631260269
Công Ty TNHH Nhất Trí Thành,9.333 m2,Shophouse,Kinh Bắc Golden Gate Bắc Ninh,21.112213865823-105.94848066243
Công ty Cổ phần Gia Việt,,":Đất nền, nhà phố, biệt thự",Khu đô thị Mỹ Phước,11.565175903126-109.00825073489
Công ty Cổ phần Tập đoàn BIM Group,160 ha,Biệt thự,Thanh Xuân Valley Vĩnh Phúc,21.328223877309-105.74492230951
,,Căn hộ,,10.946698102346-106.82335818238
Công ty TNHH Đầu tư và Phát triển Sài Gòn Center,10 ha,Nhà phố,Green Valley City Bình Dương,11.07283050078-106.78156097561
Công ty TNHH Tư vấn Kiến trúc và Xây dựng Phú Đông,"1,1 ha",Biệt thự,Eden Village Bảo Lộc,11.449119745932-107.81070085758
Cổ phần Khu công nghiệp Bắc Tiền Phong,1.193 ha,Khu công nghiệp,Deep C Quảng Ninh II,20.887431696906-106.81327169534
Công ty Cổ phần May – Diêm Sài Gòn,"9,8 ha","Nhà phố, shophouse",TNR Stars Vĩnh Bảo Hải Phòng,20.692727996567-106.48644659528
 Công ty Cổ phần Đầu tư – Môi giới Bất động sản Thanh Hưng,,Đất nền,Đất nền Sunflower Hill,11.584687666739-107.80033866694
Công ty Cổ phần Thương mại và Dịch vụ Danh Việt,,Căn hộ,The Venice 5&6 - Venezia Beach,10.574607730122-107.57276954011
 Công ty TNHH Đầu tư Xây dựng TM SG Vietland,,"Shophouse, biệt thự ",Đồng Khởi Central Bến Tre,10.120291291431-106.32707795601
Công ty Cổ phần Đầu tư VCN,"2.819,4 m2",Căn hộ,CT1 Riverside Luxury,12.210428846561-109.18612524971
Công ty Cổ phần Đầu tư VCN,"3.359,8 m2",Căn hộ,CT9 Vĩnh Điềm Trung,12.256131248993-109.16805043827
,,Đất nền,Khu dân cư Bình Điền Center 2,10.696635197717-106.61090470293
 Công ty Cổ phần Đầu tư Phúc Long PNJ,,"Đất nền, biệt thự",Làng Pháp Bảo Lộc Resort & Spa ,11.592275984735-107.74624387552
Công ty Cổ phần Thành Công E&C,2.846 m2,Căn hộ,The Five Residences Hanoi,21.036261691382-105.81672235994
Công ty Cổ phần Dịch vụ và Đầu tư Đất Xanh Miền Tây,3.090 m2,Căn hộ,Cara River Park Cần Thơ,10.012072943172-105.78833585695
Công ty Cổ phần Phát triển Bất động sản Emerald,,Đất nền,Emerald Beach City Quảng Bình,17.664462143175-106.50842421343
Công ty TNHH Tấn Lộc World,10.000 m2,"Nhà phố, biệt thự",Tấn Lộc Home Vĩnh Long,10.244097873858-105.95070775817
Công ty Cổ phần Tập đoàn Đầu tư An Lạc,6.566 m2,Căn hộ,Moonlight 1,21.025611894476-105.73173326221
Công ty Cổ phần Đầu tư Sài Gòn Đà Nẵng (SDN,"2,6 ha","Căn hộ, shophouse",Seaview Tower - The Ori Garden,16.100430463878-108.12997180319
Công ty Cổ phần Tập đoàn Địa ốc Cát Tường,"155.275,1 m2","Nhà phố, biệt thự, đất nền",Cát Tường Edu Town Bình Phước,11.657139859759-106.58091826156
Liên danh ,"15,38 ha",Đất nền,Phố chợ Đông Phú ,15.675453940633-108.21433957211
Công ty Cổ phần Thiên Bình Minh,"18,9 ha","Căn hộ, biệt thự",The Sea Class ,10.468661428861-107.40801869321
,," Biệt thự, liền kề", Khu đô thị Long Vân 3,13.773519029555-109.22285814918
Công ty Cổ phần Đầu tư Dịch vụ Bất động sản Viethouse,5 ha,đất nền nghỉ dưỡng,The Green Valley Lâm Đồng,11.481959010722-107.86803360611
